hostname_nn,letter_nn,Event,ProposalCategory,ProposalID,Cycle,Observation,Status,ObservingMode,GratingGrism,Subarray,ReadoutPattern,Groups,StartTime,EndTime,Hours,LastName,ProprietaryPeriod,EquatorialCoordinates,sy_kmag,sy_dist,st_teff,st_mass,st_rad,st_logg,pl_orbper,pl_orbsmax,pl_orbincl,pl_massj,pl_radj,pl_g_SI,pl_dens_cgs,pl_Teq_K,pl_trandep,pl_trandur,pl_TSM_K,pl_ESM_3um,PlanWindow,st_met,st_prot,
TOI-1442,b,Eclipse,GO,4818,3,9,Executed,LRS,X,SLITLESSPRISM,FASTR1,108,2/23/25 4:33,2/23/25 8:40,4.91,Weiner Mansfield,12,19 09 9.7936 +74 10 20.22,10.089,41.17,3329,0.29,0.309,4.918,0.4090679,0.007,-1,-1,0.105,-1,-1,1059.7,0.1,0.6,-1,2.34,X,-999,,
TOI-1468,b,Eclipse,GO,3730,2,17,Executed,F1500W,X,SUB256,FASTR1,31,12/1/23 18:44,12/1/23 23:51,5.33,Diamond-Lowe,12,01 06 36.9279 +19 13 29.60,8.497,24.74,3382,0.346,0.369,4.855,1.8805201,0.021,88.14,0.01,0.125,17.84,7.64,682.8,0.1,1.1,13.67,0.48,X,-0.02,42.5,
TOI-1670,c,Transit,GO,7982,4,3,Implementation,BOTS,G235M,SUB2048,NRSRAPID,4,X,X,13.53,Claringbold,12,17 16 4.1608 +72 09 40.17,8.724,168.07,6330,1.214,1.31,4.29,40.7501028,0.249,88.84,0.604,0.97,18.2,1,700.1,0.6,5.4,46.23,0.88,"Mar 16, 2027 - Mar 16, 2027 (2027.075 - 2027.075)",0.05,,
TOI-1685,b,Transit,GO,4195,2,2,Executed,BOTS,G395H,SUB2048,NRSRAPID,16,3/2/24 7:05,3/2/24 12:55,6.17,Fisher,12,04 34 22.5504 +43 02 13.30,8.758,37.62,3457,0.478,0.462,4.814,0.6691406,0.011,85.59,0.01,0.152,12.64,4.46,1058.5,0.1,1,136.19,3.75,X,0,18.7,
TOI-178,g,Transit,GO,2319,1,2,Skipped,BOTS,G395M,SUB2048,NRSRAPID,7,X,X,8.21,Hooton,12,00 29 12.4828 -30 27 14.82,8.656,62.7,4213.5,0.65,0.676,4.503,20.709002,0.128,88.82,0.012,0.295,4.03,0.73,467.9,0.2,2.2,183.19,0.03,X,-0.23,,
TOI-1801,b,Transit,GO,6932,4,3,Implementation,SOSS,X,SUBSTRIP96,NISRAPID,5,X,X,7.89,Luque,12,11 42 18.3739 +23 01 36.67,7.805,30.68,3815,0.531,0.547,4.72,10.6439385,0.075,89.51,0.034,0.177,30.79,9.28,496.8,0.1,2.7,34.03,0.04,"Jan 12, 2026 - Jan 12, 2026 (2026.012 - 2026.012)",-0.02,16,
TOI-1807,b,Eclipse,GO,4818,3,15,Executed,LRS,X,SLITLESSPRISM,FASTR1,15,2/22/25 8:54,2/22/25 13:51,5.32,Weiner Mansfield,12,13 25 7.9957 +38 55 20.94,7.568,42.58,4743.5,0.76,0.715,4.58,0.5493715,0.012,79.85,0.008,0.128,13.66,5.72,1765.6,0,1,19.34,6.28,X,-0.03,8.8,
TOI-1899,b,Transit,GO,4227,2,11,Executed,BOTS,PRISM,SUB512,NRSRAPID,5,5/10/25 17:16,5/11/25 4:17,12.6,Claringbold,12,19 57 42.3954 +40 08 35.75,10.509,128.44,3854,0.63,0.607,4.669,29.0902271,0.156,89.7,0.665,1.087,15.96,0.79,367.1,3.8,4.7,63.4,0.02,X,0.3,,
TOI-199,b,Transit,GO,5177,3,1,Executed,BOTS,G395M,SUB2048,NRSRAPID,7,12/23/24 5:22,12/24/24 3:09,24.98,Hu,12,05 20 25.3152 -59 53 44.46,8.814,102.27,5302.5,0.936,0.85,4.553,104.8634818,0.425,90,0.17,0.861,6.5,0.4,361.4,1.2,6.6,135.14,0.01,X,0.22,,
TOI-2031,b,Transit,GO,9025,4,4,Implementation,BOTS,G395H,SUB2048,NRSRAPID,85,X,X,10.28,Gao,12,22 04 28.0921 +81 33 57.39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Sep 18, 2025 - Sep 19, 2025 (2025.261 - 2025.262)",-999,,
TOI-2076,b,Transit,GO,5959,3,10,Executed,SOSS,X,SUBSTRIP96,NISRAPID,2,4/17/25 23:17,4/18/25 7:37,8.89,Feinstein,0,14 29 34.0787 +39 47 25.43,7.115,41.91,5189.5,0.85,0.77,4.602,10.355362,0.068,88.9,0.051,0.223,28.86,6.92,840.8,0.1,3.3,53.54,1.07,X,-0.03,6.8,
TOI-2109,b,PhaseC,SURVEY,2765,1,4,Withdrawn,BOTS,G395H,SUB2048,NRSRAPID,23,X,X,20.76,Valenti,0,16 52 44.7110 +16 34 47.69,9.07,262.04,6593.5,1.453,1.699,4.13,0.6724821,0.018,70.74,5.02,1.375,75.25,2.93,3096.7,0.7,1.8,35.53,137.97,X,0.07,,
TOI-216,c,Transit,GO,7982,4,5,Implementation,BOTS,G395M,SUB2048,NRSRAPID,34,X,X,13.78,Claringbold,12,04 55 55.2549 -63 15 36.31,10.218,177.94,5026,0.874,0.82,4.66,34.516414,0.207,89.83,0.595,0.933,19.35,1.11,482.4,1.8,4.7,36.99,0.09,"Aug 12, 2026 - Aug 13, 2026 (2026.224 - 2026.225)",0.32,,
TOI-2260,b,PhaseC,GO,8864,4,2,Implementation,LRS,X,SLITLESSPRISM,FASTR1,25,X,X,27.35,Dang,12,16 30 40.1197 +49 02 47.49,8.684,101.25,5483,0.99,0.92,4.565,0.3524662,0.01,-1,-1,0.151,-1,-1,2574.9,0,0.6,-1,6.15,"Jun 5, 2026 - Jun 6, 2026 (2026.156 - 2026.157)",0.22,8.5,
TOI-2431,b,PhaseC,GO,8864,4,4,Implementation,LRS,X,SLITLESSPRISM,FASTR1,10,X,X,13.51,Dang,12,02 31 3.2802 +08 22 55.18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Aug 5, 2026 - Aug 5, 2026 (2026.217 - 2026.217)",-999,,
TOI-2445,b,PhaseC,GO,3784,2,1,Executed,BOTS,PRISM,SUB512,NRSRAPID,7,1/28/24 5:18,1/28/24 20:10,16.56,Zhang,12,02 53 15.8773 +00 03 8.41,10.779,48.58,3333,0.25,0.271,4.964,0.3711308,0.006,-1,-1,0.118,-1,-1,1046.1,0.2,0.5,-1,2.67,X,-999,,
TOI-260,b,Transit,GO,2512,1,2,Executed,BOTS,G395H,SUB2048,NRSRAPID,3,11/30/23 5:56,11/30/23 12:46,7.75,Batalha,0,00 19 5.5243 -09 57 58.14,6.549,20.19,4050,0.582,0.607,4.646,13.4758478,0.093,88.84,0.012,0.153,14.43,5.06,499.9,0.1,2.1,90.97,0.05,X,-0.34,31,
TOI-270,b,Eclipse,GO,3730,2,20,Executed,F1500W,X,SUB256,FASTR1,25,2/10/24 10:35,2/10/24 16:16,5.93,Diamond-Lowe,12,04 33 39.8638 -51 57 26.75,8.251,22.48,3446,0.4,0.379,4.856,3.3601458,0.031,88.65,0.005,0.108,12.17,6.05,578.4,0.1,1.4,15.54,0.11,X,-0.17,,
TOI-3235,b,Transit,GO,3731,2,1,Executed,BOTS,PRISM,SUB512S,NRSRAPID,4,7/27/24 22:30,7/28/24 5:10,7.08,Jordan,12,13 49 53.7237 -46 03 59.45,10.819,72.81,3381.9,0.394,0.37,4.874,2.5926192,0.027,88.14,0.665,1,18.86,1.01,602.6,7.8,1.4,189.18,4.48,X,0.26,,
TOI-3714,b,Transit,GO,3171,2,13,Executed,BOTS,PRISM,SUB512,NRSRAPID,4,2/29/24 19:35,3/1/24 1:32,7.16,Kanodia,0,04 38 12.5354 +39 27 29.91,10.852,112.71,3652,0.526,0.508,4.75,2.154848,0.027,88.26,0.694,1.01,19.3,1.02,769.2,5,1.7,124.24,9.95,X,0.24,23.3,
TOI-3757,b,Transit,GO,3171,2,4,Executed,BOTS,PRISM,SUB512,NRSRAPID,4,3/19/24 23:10,3/20/24 5:47,7.47,Kanodia,0,06 04 0.8904 +55 01 12.59,11.152,181.14,3907.5,0.64,0.629,4.65,3.4389742,0.038,86.76,0.268,1.09,6.4,0.31,761.9,3.3,1.8,228.12,5.55,X,0,,
